0x02944000, vexabc5_dmem_ve32_bp_cfg
0x02948000, vexabc5_pmem_ve32_bp_cfg
0x02968000, vexabc5_vmem_ve32_simd0
0x02978000, vexabc5_lutmem_ve32_simd0
0x02980000, vexabc6_sc_ve32_cell
0x02981000, vexabc6_c2s_cio2strm
0x02982000, vexabc6_s2c_strm2cio
0x02983000, vexabc6_tm_ve32_tile_timer
0x02983800, vexabc6_gp_ve32_tile_ctrl
0x02984000, vexabc6_dmem_ve32_bp_cfg
0x02988000, vexabc6_pmem_ve32_bp_cfg
0x029a8000, vexabc6_vmem_ve32_simd0
0x029b8000, vexabc6_lutmem_ve32_simd0
0x029c0000, vexabc7_sc_ve32_cell
0x029c1000, vexabc7_c2s_cio2strm
0x029c2000, vexabc7_s2c_strm2cio
0x029c3000, vexabc7_tm_ve32_tile_timer
0x029c3800, vexabc7_gp_ve32_tile_ctrl
0x029c4000, vexabc7_dmem_ve32_bp_cfg
0x029c8000, vexabc7_pmem_ve32_bp_cfg
0x029e8000, vexabc7_vmem_ve32_simd0
0x029f8000, vexabc7_lutmem_ve32_simd0
0x02a00000, vexabc8_sc_ve32_cell
0x02a01000, vexabc8_c2s_cio2strm
0x02a02000, vexabc8_s2c_strm2cio
0x02a03000, vexabc8_tm_ve32_tile_timer
0x02a03800, vexabc8_gp_ve32_tile_ctrl
0x02a04000, vexabc8_dmem_ve32_bp_cfg
0x02a08000, vexabc8_pmem_ve32_bp_cfg
0x02a28000, vexabc8_vmem_ve32_simd0
0x02a38000, vexabc8_lutmem_ve32_simd0
0x02a40000, vexabc9_sc_ve32_cell
0x02a41000, vexabc9_c2s_cio2strm
0x02a42000, vexabc9_s2c_strm2cio
0x02a43000, vexabc9_tm_ve32_tile_timer
0x02a43800, vexabc9_gp_ve32_tile_ctrl
0x02a44000, vexabc9_dmem_ve32_bp_cfg
0x02a48000, vexabc9_pmem_ve32_bp_cfg
0x02a68000, vexabc9_vmem_ve32_simd0
0x02a78000, vexabc9_lutmem_ve32_simd0
0x02a80000, vexabc10_sc_ve32_cell
0x02a81000, vexabc10_c2s_cio2strm
0x02a82000, vexabc10_s2c_strm2cio
0x02a83000, vexabc10_tm_ve32_tile_timer
0x02a83800, vexabc10_gp_ve32_tile_ctrl
0x02a84000, vexabc10_dmem_ve32_bp_cfg
0x02a88000, vexabc10_pmem_ve32_bp_cfg
0x02aa8000, vexabc10_vmem_ve32_simd0
0x02ab8000, vexabc10_lutmem_ve32_simd0
0x02ac0000, vexabc11_sc_ve32_cell
